VKGroup_1;VkGroup_2;Quantity;vk1_custom_id;vk2_custom_id
25153764;34274053;62;249;565
26555975;31976785;27;298;491
29246653;65960786;26;373;1137
32194285;90730773;69;502;1301
29534144;41053835;43;386;760
41437811;33769500;24;767;547
1388;34274053;38;12;565
34215577;28950133;41;562;363
29559271;6136139;31;388;92
36008740;38379853;25;634;692
1177;26858816;27;10;309
29302425;33080201;50;375;520
27895931;33769500;31;330;547
57846937;29302425;27;1046;375
31976785;12648877;22;491;125
29559271;31516466;31;388;472
20629724;37119411;98;168;665
460389;25679656;23;58;269
27121021;37119411;36;316;665
39321576;46252034;24;714;868
22798006;26858816;42;182;309
180554744;491;20;1544;5
29302425;33118494;27;375;522
1177;90730773;48;10;1301
29302425;47679753;56;375;896
28673372;32708863;23;353;516
31752409;34118551;27;478;557
30086880;37119411;24;410;665
29559271;34168005;65;388;559
38683579;46117626;27;699;865
37119411;90730773;67;665;1301
36184135;36941068;34;642;658
40427933;34274053;74;741;565
23213239;17655824;36;192;150
29246653;41437811;54;373;767
26555975;25003603;122;298;245
15755094;25679656;22;141;269
16945011;37119411;21;145;665
41437811;108468;28;767;41
30525261;45938293;56;426;861
27895931;34384434;31;330;572
460389;23148107;55;58;189
23482909;32041317;20;206;494
22798006;12382740;35;182;123
26307864;26970810;38;290;310
29246653;36941068;29;373;658
211232966;37119411;31;1571;665
2158488;15755094;26;74;141
54530371;72495085;57;1003;1197
40567146;41525215;24;746;770
50409684;44759043;24;943;835
23213239;26127512;33;192;283
24098496;35034571;27;227;595
22741084;37119411;57;178;665
24098496;28673372;53;227;353
38683579;36959676;20;699;659
26750264;27531145;22;306;321
15755094;26307864;25;141;290
36166073;32439535;39;641;511
57846937;52537634;46;1046;977
24565142;91933860;25;238;1307
78019879;39009769;32;1238;706
33769500;34274053;74;547;565
37119411;44759043;51;665;835
17655824;28556858;25;150;350
12648877;14897324;39;125;136
26555975;33393308;47;298;537
28950133;37119411;100;363;665
36959676;41538339;29;659;771
43772432;24098496;20;820;227
43879004;47118092;22;822;882
22798006;39009769;51;182;706
29559271;36184135;61;388;642
27797026;17655824;24;328;150
1388;27797026;20;12;328
23213239;54530371;21;192;1003
14897324;37119411;29;136;665
34274053;34384434;45;565;572
24098496;48149358;41;227;901
29302425;31752409;34;375;478
26555975;49840023;20;298;929
43215063;25346844;28;814;257
25153764;30666517;22;249;437
32194285;35349905;54;502;615
27797026;29246653;29;328;373
41437811;152624627;23;767;1497
31976785;38233726;21;491;689
35486195;32509740;23;618;512
34116496;36775085;34;556;653
1388;932;99;12;8
12382740;26858816;39;123;309
932;33393308;72;8;537
26307864;28673372;36;290;353
36166073;46117626;28;641;865
25346844;25873533;29;257;277
65464437;26555975;59;1132;298
38683579;22522055;20;699;175
34483558;45613675;22;576;853
22822305;24713873;21;183;241
78019879;26307864;20;1238;290
26555975;26307864;22;298;290
36166073;38379853;39;641;692
24713873;32194285;39;241;502
29534144;25117353;59;386;247
40335272;43772432;20;738;820
34168005;40335272;25;559;738
65960786;41437811;32;1137;767
22798006;34451036;20;182;575
25117353;45613675;41;247;853
33769500;33338722;33;547;531
20629724;33393308;81;168;537
32943546;34274053;22;519;565
26555975;48319873;21;298;905
30022666;36775085;75;408;653
25346844;33338722;53;257;531
38683579;40335272;33;699;738
