VKGroup_1;VkGroup_2;Quantity
29302425;12818778;27
1177;38415798;45
113071474;12648877;35
346191;24098496;35
43772432;48210134;22
50409684;298073;44
29302425;29369218;23
24713873;34305040;27
29534144;40167434;71
25817269;37119411;55
57846937;25346844;34
27895931;28627911;27
40427933;25557243;55
36166073;30447908;25
34118551;34483558;30
33769500;40335272;49
28477986;28950133;46
23611958;25153764;29
40427933;22822305;37
78019879;56106344;48
20629724;72495085;62
31480508;28950133;29
35850939;37119411;22
932;30315369;42
65960786;30525261;21
26307864;38834885;20
63731512;79459310;55
32194285;31480508;24
57846937;29573241;26
29559271;35349905;76
27895931;35486195;25
34199707;48210134;24
33393308;35145657;21
78019879;34384434;28
38683579;29559271;45
26776509;28950133;37
22798006;26614831;20
30022666;31480508;133
31976785;41041067;41
26858816;45613675;21
24098496;35145657;40
36775085;31935454;23
29559271;38379853;54
17655824;26127512;45
17655824;27932995;33
25153764;41827660;41
28950133;29302425;91
41437811;46172262;28
29246653;34215577;49
38233726;45613675;23
33393308;40018862;40
30022666;39236729;34
14897324;20845272;38
29559271;45960892;34
29573241;57876954;23
22822305;34384434;32
29302425;12382740;22
37119411;79863581;21
78019879;65960786;29
26555975;32194285;77
57846937;72495085;23
42811897;90730773;21
48319873;56106344;33
90730773;32509740;22
26858816;33338722;23
17655824;38415798;41
22798006;90730773;48
1388;460389;21
33769500;34384434;31
78019879;90730773;36
38683579;28477986;20
38683579;39321576;66
29534144;36507793;127
346191;20845272;22
40427933;27725748;20
26555975;1711;207
31976785;23783750;21
29559271;48868052;30
113071474;20845272;39
29559271;30666517;47
17655824;26750264;25
43215063;63731512;41
25346844;29559271;95
28556858;40167434;24
40167434;41818823;27
19720218;20629724;23
29302425;30447908;30
26555975;95543604;39
40553536;40567146;22
73662138;19542789;24
1177;94;30
36166073;40498005;34
38363244;37119411;25
29559271;42307767;52
30447908;41053835;20
57846937;20845272;24
29302425;30559917;66
57846937;24565142;22
29534144;31516466;33
460389;34116496;21
1388;94;20
30559917;34274053;40
35486195;34274053;22
22798006;33769500;42
23170931;41538339;21
11982368;31969346;21
25817269;17655824;20
26555975;33769500;25
29686754;15755094;28
55404958;63731512;41
786;38415798;21
22798006;32370614;29
27797026;29348258;36
1177;786;26
34274053;26555975;21
40498005;43879004;35
36184135;90730773;71
786;36184135;23
33080201;48210134;30
36184135;29559271;29
31976785;26307864;24
22798006;29573241;25
57846937;42923159;21
36184135;30022666;33
29559271;36164349;25
25117353;27121021;26
34483558;36047336;22
24098496;41053835;70
43776215;56106344;24
31976785;28950133;30
1177;26776509;25
1388;23213239;29
31976785;32439535;23
34215577;31976785;22
25189523;30022666;42
51345945;1388;41
25346844;34384434;31
29302425;33301261;35
37119411;41525215;23
26127512;27797026;26
30022666;26858816;48
30022666;48618580;30
27797026;34274053;76
24098496;26599838;23
28950133;90730773;33
1711;932;92
12382740;31976785;28
41437811;24565142;32
30022666;58737741;82
108468;29534144;35
30022666;38233726;42
63731512;66640066;28
24098496;31636785;42
50409684;786;23
932;36775085;34
29686754;34351337;27
29534144;31969346;72
29302425;26858816;25
24098496;51189706;55
26127512;29348258;25
37119411;38834885;104
786;34274053;42
24713873;29559271;43
23148107;30602036;27
57846937;57876954;50
24713873;36147615;32
32194285;28950133;32
57846937;34384434;22
48618580;90730773;21
25205856;1711;196
25117353;48940689;20
24098496;211437014;21
29559271;23213239;41
34199707;38415798;20
27895931;58170807;22
34274053;35285306;33
41053835;41538339;30
33393308;36147615;44
25276999;29302425;21
460389;39009769;21
40427933;25232578;40
30022666;24713873;35
40167434;41827660;33
26858816;32708863;27
25752703;29690457;21
34274053;34116496;24
22798006;40553536;29
24713873;31976785;21
32194285;26307864;20
26419239;29559271;27
78019879;69589815;219
40567146;41053835;28
25189523;34118551;38
24098496;42763042;41
30022666;32439535;39
48319873;36959676;20
23626127;36184135;35
54530371;84793390;31
29302425;34815360;20
29559271;4325149;35
30022666;30574574;23
24565142;25752703;22
36184135;40335272;37
28587219;37684434;27
29573241;23148107;27
26284064;26555975;28
786;58807130;38
29573241;36959676;20
22798006;40498005;32
33338722;41538339;23
26750264;40167434;49
22741624;37119411;20
36147615;63731512;72
54530371;91453124;29
29559271;27797026;38
12382740;32370614;20
30559917;36147615;31
26555975;29686754;38
23626127;35486626;37
932;128692347;60
78019879;30022666;90
1177;48512305;22
25346844;17655824;31
22798006;33338722;43
23213239;34116496;40
35349905;34274053;27
73476;20629724;21
57846937;40567146;32
33769500;34215577;43
25679656;58737741;22
32131490;32194285;31
22822305;36184135;30
57846937;36147615;27
22798006;39728801;23
24565142;44759043;29
17655824;29302425;48
38683579;40886007;41
25421850;30559917;46
932;15365973;21
28477986;33338722;23
30559917;33080201;24
29534144;38233726;30
22798006;56176916;21
26858816;31976785;25
34274053;43215063;24
25232578;36184135;25
17655824;45938293;23
24098496;31752409;37
40567146;56106344;42
30022666;34384434;70
30022666;56106344;87
12648877;25153764;40
22822305;2158488;31
17655824;35486626;42
29302425;29559271;127
24098496;41041067;45
24098496;27531145;42
50409684;2237;142
34274053;36147615;71
34486229;37119411;39
40427933;28261334;27
22798006;48512305;35
12382740;27797026;22
1388;25117353;29
1177;43215063;25
29302425;36147615;91
19799369;24098496;21
57846937;32194285;28
32194285;33621085;29
69589815;125553684;59
34116496;40776453;26
38379853;41002749;34
460389;28950133;54
26555975;29246653;23
34199707;25117353;28
43879004;90730773;28
40427933;43215063;25
36047257;36507793;21
25153764;34168005;25
212768340;219528359;21
30401645;36507793;41
103027469;30022666;27
36959676;41041067;36
31480508;30525261;24
28950133;47679753;34
34168005;37119411;83
27895931;40567146;39
12382740;15755094;26
1388;43215063;24
37684434;38379853;25
1177;29246653;40
33080201;38363244;22
24713873;28950133;32
33338722;39321576;43
38683579;33769500;37
1388;401713;25
29302425;34274053;150
22822305;23213239;24
30022666;1388;35
40427933;1388;162
56106344;26858816;25
34168005;42307767;22
58170807;29559271;22
25153764;33393308;51
43215063;44759043;22
30315369;32041317;20
460389;48319873;22
24263942;37119411;21
30022666;59570143;31
44759043;29559271;32
32439535;34274053;37
38683579;40167434;68
33393308;34168005;31
33338722;40167434;34
27725748;28772416;21
24098496;34116496;104
24098496;29369218;26
29534144;90730773;36
32509740;34580489;25
20845272;4325149;24
33769500;29559271;60
30022666;38415798;55
34116496;40527789;28
28761941;31976785;21
12648877;34274053;22
1711;786;25
36184135;64392368;23
36959676;38233726;21
29302425;36184135;69
39009769;46117626;37
31920990;38415798;20
29559271;34598021;28
69589815;94;44
26555975;30315369;24
30022666;36959676;47
34168005;41538339;33
38683579;40020627;35
36166073;33118494;23
50409684;76477496;24
1236;45382098;31
36184135;63731512;64
40335272;90730773;22
41437811;43879004;28
932;34168005;22
35486195;42092461;24
17655824;30159897;24
36166073;34215577;33
36164349;56106344;33
34483558;40167434;58
26858816;30602036;29
1177;41437811;32
